,Unnamed: 0,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
1061,1061,24925,1994-05-31,Night of the Demons 2,Night of the Demons 2,Night of the Demons Collection,136218,4538926.0
1062,1062,17456,2007-09-18,BloodRayne II: Deliverance,BloodRayne 2: Deliverance,BloodRayne Collection,97307,7310461.0
1063,1063,12685,2010-06-10,BloodRayne: The Third Reich,BloodRayne: The Third Reich,BloodRayne Collection,97307,14030436.0
1064,1064,168705,2005-10-22,BloodRayne,BloodRayne,BloodRayne Collection,97307,2278569.0
1065,1065,13812,2008-10-10,Quarantine,Quarantine,Quarantine Collection,123932,16794053.0
1066,1066,59115,2011-06-16,Quarantine 2: Terminal,Quarantine 2: Terminal,Quarantine Collection,123932,31093623.0
1067,1067,7341,1999-03-12,The Rage: Carrie 2,The Rage: Carrie 2,Carrie Collection,257053,2310825.0
1068,1068,7340,1976-11-03,Carrie,Carrie,Carrie Collection,257053,4899791.0
1069,1069,10747,1976-06-30,The Outlaw Josey Wales,The Outlaw Josey Wales,Josey Wales Collection,711707,75270.0
1070,1070,225424,1986-10-01,The Return of Josey Wales,The Return of Josey Wales,Josey Wales Collection,711707,47732617.0
1071,1071,1493,2000-12-22,Miss Congeniality,Miss Congeniality,Miss Congeniality Collection,93220,19715.0
1072,1072,10040,2005-03-11,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality Collection,93220,1744593.0
1073,1073,9460,1996-11-07,黑俠,Black Mask,The Black Mask Collection,205860,3315039.0
1074,1074,49516,2002-12-24,黑俠2,Black Mask 2: City of Masks,The Black Mask Collection,205860,11137278.0
1075,1075,272114,1985-06-04,The History of White People in America,The History of White People in America,The History of White People in America Collection,1137702,12151513.0
1076,1076,439414,1986-01-01,The History of White People in America: Volume II,The History of White People in America: Volume II,The History of White People in America Collection,1137702,12151513.0
1077,1077,279738,1988-08-27,Portrait of a White Marriage,Portrait of a White Marriage,The History of White People in America Collection,1137702,75227639.0
1078,1078,39829,1973-03-07,The Six Million Dollar Man,The Six Million Dollar Man,The Six Million Dollar Man Movie Collection,384040,30979.0
1079,1079,164693,1973-11-17,The Six Million Dollar Man: The Solid Gold Kidnapping,The Six Million Dollar Man: The Solid Gold Kidnapping,The Six Million Dollar Man Movie Collection,384040,30979.0
1080,1080,164691,1973-10-20,"The Six Million Dollar Man: Wine, Women and War","The Six Million Dollar Man: Wine, Women and War",The Six Million Dollar Man Movie Collection,384040,30979.0
1081,1081,9426,1986-08-15,The Fly,The Fly,The Fly (1986) Collection,109609,456601.0
1082,1082,10344,1989-02-10,The Fly II,The Fly II,The Fly (1986) Collection,109609,692739.0
1083,1083,581750,,Untitled The Fly Film,Untitled The Fly Film,The Fly (1986) Collection,109609,60981775.0
1084,1084,106230,2000-03-04,สตรีเหล็ก,The Iron Ladies,The Iron Ladies Collection,638002,5109880.0
1085,1085,148227,2003-03-07,สตรีเหล็ก 2,The Iron Ladies 2,The Iron Ladies Collection,638002,5109880.0
1086,1086,9264,1992-05-08,Poison Ivy,Poison Ivy,Poison Ivy Collection,48188,555857.0
1087,1087,18220,1996-01-16,Poison Ivy 2: Lily,Poison Ivy 2: Lily,Poison Ivy Collection,48188,2810331.0
1088,1088,18222,1997-05-20,Poison Ivy: The New Seduction,Poison Ivy: The New Seduction,Poison Ivy Collection,48188,5107779.0
1089,1089,18223,2008-07-27,Poison Ivy: The Secret Society,Poison Ivy: The Secret Society,Poison Ivy Collection,48188,17941264.0
1090,1090,40075,1982-10-07,Ator l'invincibile,"Ator, the Fighting Eagle",Ator Collection,48194,10386266.0
1091,1091,31264,1982-12-13,Ator 2 - L'invincibile Orion,The Blade Master,Ator Collection,48194,3746.0
1092,1092,48193,1987-01-09,Ator il guerriero di ferro,Iron Warrior,Ator Collection,48194,13387891.0
1093,1093,5086,1990-08-29,Quest for the Mighty Sword,Ator IV: The Hobgoblin,Ator Collection,48194,474000.0
1094,1094,42025,1986-06-21,プロジェクトA子,Project A-Ko,Project A-Ko,859206,254149.0
1095,1095,134830,1988-06-20,プロジェクト A子3 - シンデレラ・ラプソディ,Project A-Ko 3: Cinderella Rhapsody,Project A-Ko,859206,4721500.0
1096,1096,134831,1989-10-06,プロジェクトA子 - 完結篇,Project A-Ko 4: Final,Project A-Ko,859206,4721525.0
1097,1097,134828,1987-05-21,プロジェクトA子2 - 大徳寺財閥の陰謀,Project A-Ko 2: Plot of the Daitokuji Financial Group,Project A-Ko,859206,4721486.0
1098,1098,134832,1990-07-21,A-Ko The VS ＜ヴァーサス＞ Battle 1: Grey Side,Project A-Ko Versus Battle 1: Grey Side,Project A-Ko,859206,254149.0
1099,1099,134833,1990-08-21,A-Ko The VS ＜ヴァーサス＞ Battle 2: Blue Side,Project A-Ko Versus Battle 2: Blue Side,Project A-Ko,859206,4721536.0
1100,1100,92371,1992-07-02,Project: Shadowchaser,Project: Shadowchaser,Project Shadowchaser Collection,721992,24954243.0
1101,1101,207641,1994-05-14,Project Shadowchaser II,Project Shadowchaser II,Project Shadowchaser Collection,721992,24962407.0
1102,1102,29799,1995-06-03,Project Shadowchaser III,Project Shadowchaser III,Project Shadowchaser Collection,721992,24962519.0
1103,1103,36258,1997-04-22,Orion's Key,Orion's Key,Project Shadowchaser Collection,721992,218723.0
1104,1104,24020,1999-07-24,Johnny Tsunami,Johnny Tsunami,Johnny Tsunami Collection,394316,2867481.0
1105,1105,62527,2007-11-17,Johnny Kapahala: Back on Board,Johnny Kapahala: Back on Board,Johnny Tsunami Collection,394316,8899981.0
1106,1106,49013,2011-06-11,Cars 2,Cars 2,Cars Collection,87118,16839388.0
1107,1107,920,2006-06-08,Cars,Cars,Cars Collection,87118,920613.0
1108,1108,260514,2017-06-15,Cars 3,Cars 3,Cars Collection,87118,41498488.0
1109,1109,42476,1972-06-23,Ben,Ben,Willard Collection,375886,2413574.0
1110,1110,42532,1971-07-30,Willard,Willard,Willard Collection,375886,1693762.0
1111,1111,207508,1971-07-29,Blutjunge Verführerinnen,The Young Seducers,The Young Seducers Collection,595022,74612498.0
1112,1112,265188,1972-03-17,Blutjunge Verführerinnen 2,The Young Seducers 2,The Young Seducers Collection,595022,236691.0
1113,1113,173740,1972-12-29,Blutjunge Verführerinnen 3. Teil,The Calendar Girls,The Young Seducers Collection,595022,2476535.0
1114,1114,42537,1928-10-06,The Wedding March,The Wedding March,Prince Nicki Collection,1252431,3656567.0
1115,1115,912596,1929-12-31,The Honeymoon,The Honeymoon,Prince Nicki Collection,1252431,74817480.0
1116,1116,10925,1985-04-25,The Return of the Living Dead,The Return of the Living Dead,Return of the Living Dead Collection,101471,3979809.0
1117,1117,24929,1988-01-15,Return of the Living Dead Part II,Return of the Living Dead Part II,Return of the Living Dead Collection,101471,2263255.0
1118,1118,28260,1993-10-01,Return of the Living Dead III,Return of the Living Dead III,Return of the Living Dead Collection,101471,30854893.0
1119,1119,24935,2005-10-15,Return of the Living Dead: Necropolis,Return of the Living Dead: Necropolis,Return of the Living Dead Collection,101471,5651515.0
1120,1120,24939,2005-10-15,Return of the Living Dead: Rave to the Grave,Return of the Living Dead: Rave to the Grave,Return of the Living Dead Collection,101471,5651517.0
1121,1121,3050,1998-06-26,Doctor Dolittle,Doctor Dolittle,Dr. Dolittle Collection,3169,2511602.0
1122,1122,10808,2001-06-22,Dr. Dolittle 2,Dr. Dolittle 2,Dr. Dolittle Collection,3169,735291.0
1123,1123,18843,2006-04-25,Dr. Dolittle 3,Dr. Dolittle 3,Dr. Dolittle Collection,3169,3520781.0
1124,1124,19273,2009-04-08,Dr. Dolittle: Million Dollar Mutts,Dr. Dolittle: Million Dollar Mutts,Dr. Dolittle Collection,3169,23200481.0
1125,1125,27996,2008-03-04,Dr. Dolittle: Tail to the Chief,Dr. Dolittle: Tail to the Chief,Dr. Dolittle Collection,3169,14617763.0
1126,1126,355185,2001-09-21,Family 2,Family 2,Takashi Miike's Family saga,474219,44760297.0
1127,1127,115213,2001-03-10,Family,Family,Takashi Miike's Family saga,474219,44760297.0
1128,1128,14400,2008-12-17,Largo Winch,The Heir Apparent: Largo Winch,Largo Winch Collection,70764,14947020.0
1129,1129,57331,2011-02-16,Largo Winch II,Largo Winch II,Largo Winch Collection,70764,43191917.0
1130,1130,1000075,2024-07-31,The Price of Money: A Largo Winch Adventure,The Price of Money: A Largo Winch Adventure,Largo Winch Collection,70764,75171348.0
1131,1131,9086,1990-08-01,Young Guns II,Young Guns II,Young Guns Collection,9329,675213.0
1132,1132,11967,1988-02-17,Young Guns,Young Guns,Young Guns Collection,9329,673694.0
1133,1133,931598,,Guns III - Alias: Billy the Kid,Guns III - Alias: Billy the Kid,Young Guns Collection,9329,1576075.0
1134,1134,9336,1984-03-22,Police Academy,Police Academy,Police Academy Collection,9338,6043780.0
1135,1135,10157,1985-03-28,Police Academy 2: Their First Assignment,Police Academy 2: Their First Assignment,Police Academy Collection,9338,1107070.0
1136,1136,10587,1987-04-02,Police Academy 4: Citizens on Patrol,Police Academy 4: Citizens on Patrol,Police Academy Collection,9338,4485641.0
1137,1137,11546,1994-06-09,Police Academy: Mission to Moscow,Police Academy: Mission to Moscow,Police Academy Collection,9338,6043918.0
1138,1138,11825,1988-03-17,Police Academy 5: Assignment Miami Beach,Police Academy 5: Assignment Miami Beach,Police Academy Collection,9338,1680034.0
1139,1139,11895,1989-03-09,Police Academy 6: City Under Siege,Police Academy 6: City Under Siege,Police Academy Collection,9338,6043815.0
1140,1140,12118,1986-03-20,Police Academy 3: Back in Training,Police Academy 3: Back in Training,Police Academy Collection,9338,3511253.0
1141,1141,1103,1981-05-23,Escape from New York,Escape from New York,Escape From ... Collection,115838,9835.0
1142,1142,10061,1996-08-09,Escape from L.A.,Escape from L.A.,Escape From ... Collection,115838,699609.0
1143,1143,9266,2002-08-08,Blue Crush,Blue Crush,Blue Crush Collection,115839,307072.0
1144,1144,58443,2011-06-07,Blue Crush 2,Blue Crush 2,Blue Crush Collection,115839,33647541.0
1145,1145,34783,1959-08-18,I'm All Right Jack,I'm All Right Jack,Stanley Windrush Collection,1000578,1239956.0
1146,1146,84109,1956-02-17,Private's Progress,Private's Progress,Stanley Windrush Collection,1000578,1381639.0
1147,1147,43640,2007-11-16,Musallat,Musallat,Musallat [Seri],529539,26159909.0
1148,1148,98335,2011-12-02,Musallat 2: Lanet,Musallat 2: Lanet,Musallat [Seri],529539,26159909.0
1149,1149,14306,2008-12-25,Marley & Me,Marley & Me,Marley & Me Collection,230532,12981662.0
1150,1150,72391,2011-06-01,Marley & Me: The Puppy Years,Marley & Me: The Puppy Years,Marley & Me Collection,230532,38332385.0
1151,1151,30497,1974-10-11,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,Texas Chainsaw Massacre Collection,111751,29781.0
1152,1152,16337,1986-08-22,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,Texas Chainsaw Massacre Collection,111751,4902341.0
1153,1153,25018,1990-01-12,Leatherface: The Texas Chainsaw Massacre III,Leatherface: The Texas Chainsaw Massacre III,Texas Chainsaw Massacre Collection,111751,2609817.0
1154,1154,16780,1995-09-22,The Return of the Texas Chainsaw Massacre,The Return of the Texas Chainsaw Massacre,Texas Chainsaw Massacre Collection,111751,2742915.0
1155,1155,76617,2013-01-03,Texas Chainsaw 3D,Texas Chainsaw 3D,Texas Chainsaw Massacre Collection,111751,32291194.0
1156,1156,300665,2017-09-14,Leatherface,Leatherface,Texas Chainsaw Massacre Collection,111751,46860810.0
1157,1157,632727,2022-02-18,Texas Chainsaw Massacre,Texas Chainsaw Massacre,Texas Chainsaw Massacre Collection,111751,65625588.0
1158,1158,10252,2005-05-01,Animal,Animal,Animal Collection,384142,7192381.0
1159,1159,13202,2007-09-04,Animal 2,Animal 2,Animal Collection,384142,21132240.0
1160,1160,7227,1977-03-11,Airport '77,Airport '77,Airport Collection,33938,1076567.0
1161,1161,10671,1970-03-25,Airport,Airport,Airport Collection,33938,99459.0
1162,1162,27932,1974-10-18,Airport 1975,Airport 1975,Airport Collection,33938,2159529.0
1163,1163,29723,1979-08-17,The Concorde... Airport '79,The Concorde... Airport '79,Airport Collection,33938,2417326.0
1164,1164,8374,1999-01-22,The Boondock Saints,The Boondock Saints,The Boondock Saints Collection,87186,517376.0
1165,1165,22821,2009-11-24,The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day,The Boondock Saints Collection,87186,21052275.0
1166,1166,893060,,The Boondock Saints III,The Boondock Saints III,The Boondock Saints Collection,87186,517376.0
1167,1167,71652,1951-09-13,A.T.M. ¡A toda máquina!,Full Spead Ahead,A.T.M. Colección,1068181,
1168,1168,156545,1951-12-20,¿Qué te ha dado esa mujer?,¿Qué te ha dado esa mujer?,A.T.M. Colección,1068181,47670986.0
1169,1169,1696,2005-07-22,The Devil's Rejects,The Devil's Rejects,Firefly Collection,105625,2063141.0
1170,1170,2662,2003-04-11,House of 1000 Corpses,House of 1000 Corpses,Firefly Collection,105625,307789.0
1171,1171,489064,2019-09-16,3 from Hell,3 from Hell,Firefly Collection,105625,57016199.0
1172,1172,19893,1963-08-14,Flipper,Flipper,Flipper Collection,1205405,1972231.0
1173,1173,79547,1964-06-24,Flipper's New Adventure,Flipper's New Adventure,Flipper Collection,1205405,3868326.0
1174,1174,11229,1996-08-23,Freeway,Freeway,Freeway Collection,355490,854942.0
1175,1175,39927,2000-05-13,Freeway II: Confessions of a Trickbaby,Freeway II: Confessions of a Trickbaby,Freeway Collection,355490,22141604.0
1176,1176,33057,1973-12-20,Alvin Purple,Alvin Purple,Alvin Purple Collection,418980,2279223.0
1177,1177,35000,1974-12-16,Alvin Rides Again,Alvin Rides Again,Alvin Purple Collection,418980,9781685.0
1178,1178,127244,1984-12-20,"Melvin, Son of Alvin","Melvin, Son of Alvin",Alvin Purple Collection,418980,37384577.0
1179,1179,20737,1997-08-01,Air Bud,Air Bud,Air Bud Collection,97445,1204611.0
1180,1180,21661,1998-08-14,Air Bud: Golden Receiver,Air Bud: Golden Receiver,Air Bud Collection,97445,5012787.0
1181,1181,20755,2001-09-16,Air Bud: World Pup,Air Bud: World Pup,Air Bud Collection,97445,2474727.0
1182,1182,21518,2002-06-18,Air Bud: Seventh Inning Fetch,Air Bud: Seventh Inning Fetch,Air Bud Collection,97445,5026667.0
1183,1183,24794,2003-07-01,Air Bud: Spikes Back,Air Bud: Spikes Back,Air Bud Collection,97445,5026744.0
1184,1184,29293,2006-02-11,House of the Dead 2,House of the Dead 2,House of the Dead Collection,117927,3242877.0
1185,1185,11059,2003-04-11,House of the Dead,House of the Dead,House of the Dead Collection,117927,3238135.0
1186,1186,10545,1996-06-21,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame Collection,97456,52803.0
1187,1187,12448,2002-02-06,The Hunchback of Notre Dame II,The Hunchback of Notre Dame II,The Hunchback of Notre Dame Collection,97456,4493967.0
1188,1188,9326,1984-03-30,Romancing the Stone,Romancing the Stone,Romancing the Stone Collection,89264,578001.0
1189,1189,10303,1985-08-01,The Jewel of the Nile,The Jewel of the Nile,Romancing the Stone Collection,89264,2871613.0
1190,1190,9325,1967-10-18,The Jungle Book,The Jungle Book,The Jungle Book Collection,97459,680006.0
1191,1191,14873,2003-02-07,The Jungle Book 2,The Jungle Book 2,The Jungle Book Collection,97459,725817.0
1192,1192,24266,1982-03-25,The Man from Snowy River,The Man from Snowy River,The Man From Snowy River Collection,89272,6534317.0
1193,1193,13965,1988-03-24,The Man From Snowy River II,The Man From Snowy River II,The Man From Snowy River Collection,89272,4193180.0
1194,1194,2671,1998-01-31,リング,Ring,Ring Collection,93369,180785.0
1195,1195,9674,2000-01-22,リング０　バースデイ,Ring 0,Ring Collection,93369,1094721.0
1196,1196,9669,1999-01-23,リング 2,Ring 2,Ring Collection,93369,1188832.0
1197,1197,9706,1998-01-31,らせん,The Spiral,Ring Collection,93369,617769.0
1198,1198,382602,2016-06-18,貞子vs伽椰子,Sadako vs. Kayako,Ring Collection,93369,49540032.0
1199,1199,583132,2019-05-24,貞子,Sadako,Ring Collection,93369,64386994.0
1200,1200,140441,2012-05-12,貞子3D,Sadako 3D,Ring Collection,93369,34543751.0
1201,1201,257527,2013-08-30,貞子3D2,Sadako 3D 2,Ring Collection,93369,40931665.0
1202,1202,940417,2022-10-28,貞子DX,Sadako DX,Ring Collection,93369,71443062.0
1203,1203,7484,2006-09-27,Open Season,Open Season,Open Season Collection,66761,8484755.0
1204,1204,13690,2008-09-24,Open Season 2,Open Season 2,Open Season Collection,66761,15359592.0
1205,1205,51170,2010-10-21,Open Season 3,Open Season 3,Open Season Collection,66761,28010827.0
1206,1206,382517,2015-12-18,Open Season: Scared Silly,Open Season: Scared Silly,Open Season Collection,66761,46944009.0
1207,1207,30566,1972-08-25,Blacula,Blacula,Blacula Collection,201930,2368143.0
1208,1208,42466,1973-06-27,Scream Blacula Scream,Scream Blacula Scream,Blacula Collection,201930,6021280.0
1209,1209,3170,1942-02-11,Bambi,Bambi,Bambi Collection,87250,683122.0
1210,1210,13205,2006-01-26,Bambi II,Bambi II,Bambi Collection,87250,2877925.0
1211,1211,27850,1998-11-10,Halloweentown,Halloweentown,Halloweentown Collection,87252,17002077.0
1212,1212,34205,2001-10-12,Halloweentown II: Kalabar's Revenge,Halloweentown II: Kalabar's Revenge,Halloweentown Collection,87252,2931524.0
1213,1213,34560,2004-10-08,Halloweentown High,Halloweentown High,Halloweentown Collection,87252,2931530.0
1214,1214,34204,2006-10-20,Return to Halloweentown,Return to Halloweentown,Halloweentown Collection,87252,5195911.0
1215,1215,10982,2005-12-16,Hoodwinked!,Hoodwinked!,Hoodwinked! Collection,87255,3028097.0
1216,1216,57089,2011-04-29,Hoodwinked Too! Hood VS. Evil,Hoodwinked Too! Hood VS. Evil,Hoodwinked! Collection,87255,15968935.0
1217,1217,671,2001-11-16,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter Collection,1241,667361.0
1218,1218,672,2002-11-13,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,Harry Potter Collection,1241,667368.0
1219,1219,674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,Harry Potter Collection,1241,667372.0
1220,1220,767,2009-07-15,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Harry Potter Collection,1241,858575.0
1221,1221,673,2004-05-31,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Harry Potter Collection,1241,667371.0
1222,1222,675,2007-07-08,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Harry Potter Collection,1241,670407.0
1223,1223,12444,2010-11-17,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,Harry Potter Collection,1241,9834441.0
1224,1224,12445,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,Harry Potter Collection,1241,9834441.0
1225,1225,9456,2000-01-23,The Crow: Salvation,The Crow: Salvation,The Crow Collection,9436,877225.0
1226,1226,9495,1994-05-11,The Crow,The Crow,The Crow Collection,9436,406339.0
1227,1227,10546,1996-08-29,The Crow: City of Angels,The Crow: City of Angels,The Crow Collection,9436,877220.0
1228,1228,16456,2005-05-04,The Crow: Wicked Prayer,The Crow: Wicked Prayer,The Crow Collection,9436,2378072.0
1229,1229,10775,2002-12-12,無間道,Infernal Affairs,Infernal Affairs Collection,58588,394536.0
1230,1230,11647,2003-10-01,無間道II,Infernal Affairs II,Infernal Affairs Collection,58588,1067527.0
1231,1231,14310,2003-12-12,無間道III: 終極無間,Infernal Affairs III,Infernal Affairs Collection,58588,671455.0
1232,1232,948,1978-10-24,Halloween,Halloween,Halloween Collection,91361,20179415.0
1233,1233,11281,1981-10-30,Halloween II,Halloween II,Halloween Collection,91361,2002104.0
1234,1234,10676,1982-10-22,Halloween III: Season of the Witch,Halloween III: Season of the Witch,Halloween Collection,91361,243064.0
1235,1235,11357,1988-10-21,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,Halloween Collection,91361,2002258.0
1236,1236,11361,1989-10-12,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,Halloween Collection,91361,2002320.0
1237,1237,10987,1995-09-29,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,Halloween Collection,91361,2002403.0
1238,1238,11675,1998-08-05,Halloween H20: 20 Years Later,Halloween H20: 20 Years Later,Halloween Collection,91361,957928.0
1239,1239,11442,2002-07-01,Halloween: Resurrection,Halloween: Resurrection,Halloween Collection,91361,1612686.0
1240,1240,424139,2018-10-18,Halloween,Halloween,Halloween Collection,91361,53191977.0
1241,1241,610253,2021-10-14,Halloween Kills,Halloween Kills,Halloween Collection,91361,61355585.0
1242,1242,616820,2022-10-12,Halloween Ends,Halloween Ends,Halloween Collection,91361,62957064.0
1243,1243,1948,2006-08-31,Crank,Crank,Crank Collection,64751,5930667.0
1244,1244,15092,2009-04-16,Crank: High Voltage,Crank: High Voltage,Crank Collection,64751,14708304.0
1245,1245,249826,2012-12-19,가문의 귀환,Marrying the Mafia 5: Return of the Family,Marrying the Mafia Collection,281840,3918828.0
1246,1246,85491,2011-09-08,가문의 영광 4: 가문의 수난,Unstoppable Family,Marrying the Mafia Collection,281840,36535845.0
1247,1247,49204,2006-09-21,가문의 영광 3: 가문의 부활,Marrying The Mafia 3: Family Hustle,Marrying the Mafia Collection,281840,15560266.0
1248,1248,49203,2005-09-07,가문의 위기,Marrying the Mafia 2,Marrying the Mafia Collection,281840,3861698.0
1249,1249,49202,2002-09-13,가문의 영광,Marrying the Mafia,Marrying the Mafia Collection,281840,12836428.0
1250,1250,1148321,2023-09-21,가문의 영광: 리턴즈,Glory Again,Marrying the Mafia Collection,281840,509676.0
1251,1251,28851,1987-12-02,Video Violence,Video Violence,Video Violence Collection,779505,28146653.0
1252,1252,64768,1988-01-01,Video Violence Part 2,Video Violence Part 2,Video Violence Collection,779505,2274938.0
1253,1253,29345,1989-01-20,The Terror Within,The Terror Within,Terror Within Collection,744694,10354167.0
1254,1254,119353,1991-01-18,The Terror Within II,The Terror Within II,Terror Within Collection,744694,24954740.0
1255,1255,25164,1983-04-01,Screwballs,Screwballs,Screwballs Collection,181502,36217614.0
1256,1256,44191,1985-08-01,Loose Screws,Loose Screws,Screwballs Collection,181502,9977694.0
1257,1257,104413,1988-12-01,Screwball Hotel,Screwball Hotel,Screwballs Collection,181502,13821917.0
1258,1258,12599,1999-07-17,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,Pokémon the Movie 2000,Pokémon Collection,34055,1490639.0
1259,1259,12600,2001-07-06,劇場版ポケットモンスター セレビィ 時を超えた遭遇,Pokémon 4Ever,Pokémon Collection,34055,1989045.0
1260,1260,33875,2002-07-13,劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス,Pokémon Heroes,Pokémon Collection,34055,1489050.0
1261,1261,10228,1998-07-18,劇場版ポケットモンスター ミュウツーの逆襲,Pokémon: The First Movie,Pokémon Collection,34055,2460704.0
1262,1262,10991,2000-07-08,劇場版ポケットモンスター 結晶塔の帝王 ENTEI,Pokémon 3: The Movie,Pokémon Collection,34055,4648834.0
1263,1263,29095,1988-06-17,Waxwork,Waxwork,Waxwork Collection,126220,7292022.0
1264,1264,28762,1992-05-11,Waxwork II: Lost in Time,Waxwork II: Lost in Time,Waxwork Collection,126220,7370905.0
1265,1265,82731,1921-08-28,The Three Musketeers,The Three Musketeers,The Three Musketeers (Silent era),707853,905409.0
1266,1266,79761,1929-02-21,The Iron Mask,The Iron Mask,The Three Musketeers (Silent era),707853,2376252.0
1267,1267,14212,2008-09-30,Pulse 2: Afterlife,Pulse 2: Afterlife,Pulse Collection,124188,11541829.0
1268,1268,14255,2008-12-23,Pulse 3,Pulse 3,Pulse Collection,124188,22243471.0
1269,1269,9682,2006-08-11,Pulse,Pulse,Pulse Collection,124188,2903396.0
1270,1270,45437,1991-08-17,黑貓,Black Cat,Black Cat Collection,875806,35622654.0
1271,1271,172680,1992-10-01,黑貓II：刺殺葉利欽,Black Cat II,Black Cat Collection,875806,144792.0
1272,1272,12089,1972-12-06,Le Grand Blond avec une chaussure noire,The Tall Blond Man with One Black Shoe,The Tall Blond Man Collection,105764,9994307.0
1273,1273,10939,1974-11-12,Le Retour du Grand Blond,The Return of the Tall Blond Man with One Black Shoe,The Tall Blond Man Collection,105764,9994307.0
1274,1274,34584,1984-04-06,Die unendliche Geschichte,The NeverEnding Story,The Neverending Story Collection,91430,2829485.0
1275,1275,34636,1990-10-25,The NeverEnding Story II: The Next Chapter,The NeverEnding Story II: The Next Chapter,The Neverending Story Collection,91430,2993846.0
1276,1276,27793,1994-10-26,The NeverEnding Story III,The NeverEnding Story III,The Neverending Story Collection,91430,2994014.0
1277,1277,186383,1988-10-08,きまぐれオレンジ★ロード　あの日にかえりたい,Kimagure Orange Road: I Want to Return to That Day,Kimagure Orange☆Road Collection,693543,23923214.0
1278,1278,132318,1996-11-01,新きまぐれオレンジ☆ロード ～ そして、あの夏のはじまり,New Kimagure Orange Road: Summer's Beginning,Kimagure Orange☆Road Collection,693543,23923214.0
1279,1279,405309,1985-11-23,きまぐれオレンジ☆ロード 少年ジャンプ・スペシャル,Kimagure Orange Road: Shonen Jump Special,Kimagure Orange☆Road Collection,693543,23923214.0
1280,1280,1087784,1987-11-21,きまぐれオレンジ★ロード 総集編 七夕スペシャル,Kimagure Orange☆Road: Tanabata Special,Kimagure Orange☆Road Collection,693543,733853.0
1281,1281,3035,1931-11-21,Frankenstein,Frankenstein,Frankenstein (Universal) Collection,218406,73488.0
1282,1282,229,1935-04-20,Bride of Frankenstein,Bride of Frankenstein,Frankenstein (Universal) Collection,218406,73375.0
1283,1283,3077,1939-01-13,Son of Frankenstein,Son of Frankenstein,Frankenstein (Universal) Collection,218406,2206376.0
1284,1284,3074,1942-03-13,The Ghost of Frankenstein,The Ghost of Frankenstein,Frankenstein (Universal) Collection,218406,3302699.0
1285,1285,3103,1944-12-01,House of Frankenstein,House of Frankenstein,Frankenstein (Universal) Collection,218406,3303226.0
1286,1286,48635,2004-07-23,Isi/Disi - Amor a lo bestia,Isi/Disi - Amor a lo bestia,Isi/Disi Collection,277798,74448067.0
1287,1287,95932,2006-12-01,Isi & Disi: alto voltaje,Isi & Disi: alto voltaje,Isi/Disi Collection,277798,8061768.0
1288,1288,21707,2001-04-19,조폭마누라,My Wife Is a Gangster,My Wife is a Gangster Collection,101676,3754368.0
1289,1289,21708,2003-09-05,조폭 마누라 2: 돌아온 전설,My Wife Is A Gangster 2,My Wife is a Gangster Collection,101676,3756621.0
1290,1290,42324,2006-12-28,조폭 마누라 3,My Wife Is a Gangster 3,My Wife is a Gangster Collection,101676,11674085.0
1291,1291,4108,2002-10-02,The Transporter,The Transporter,The Transporter Collection,9518,972958.0
1292,1292,13387,2008-11-26,Transporter 3,Transporter 3,The Transporter Collection,9518,15968423.0
1293,1293,9335,2005-08-03,Transporter 2,Transporter 2,The Transporter Collection,9518,2409484.0
1294,1294,10028,2003-11-24,Honey,Honey,Honey Collection,144689,537200.0
1295,1295,63710,2011-06-23,Honey 2,Honey 2,Honey Collection,144689,27496488.0
1296,1296,412519,2016-11-30,Honey 3: Dare to Dance,Honey 3: Dare to Dance,Honey Collection,144689,48865447.0
1297,1297,515114,2018-04-03,Honey: Rise Up and Dance,Honey: Rise Up and Dance,Honey Collection,144689,537200.0
1298,1298,24831,1978-08-03,Piranha,Piranha,Piranha Collection,212279,3153784.0
1299,1299,31646,1982-08-14,Piranha II: The Spawning,Piranha II: The Spawning,Piranha Collection,212279,3766451.0
